,Time_Stamp,Present_Signals,Number_of_People
189,1900-01-01 15:45:00,785,2644
190,1900-01-01 15:50:00,783,2644
191,1900-01-01 15:55:00,781,2266
192,1900-01-01 16:00:00,794,2645
193,1900-01-01 16:05:00,800,2645
194,1900-01-01 16:10:00,800,2645
195,1900-01-01 16:15:00,794,2645
196,1900-01-01 16:20:00,798,2645
197,1900-01-01 16:25:00,796,2632
198,1900-01-01 16:30:00,806,2642
199,1900-01-01 16:35:00,793,2642
200,1900-01-01 16:40:00,766,2642
201,1900-01-01 16:45:00,741,2642
202,1900-01-01 16:50:00,708,2642
203,1900-01-01 16:55:00,700,68
204,1900-01-01 17:00:00,705,1852
205,1900-01-01 17:05:00,696,1852
206,1900-01-01 17:10:00,717,1852
207,1900-01-01 17:15:00,684,1852
208,1900-01-01 17:20:00,709,1852
209,1900-01-01 17:25:00,706,1824
210,1900-01-01 17:30:00,702,1905
211,1900-01-01 17:35:00,701,1905
212,1900-01-01 17:40:00,696,1905
213,1900-01-01 17:45:00,689,1905
214,1900-01-01 17:50:00,683,1905
215,1900-01-01 17:55:00,683,1143
216,1900-01-01 18:00:00,665,1701
217,1900-01-01 18:05:00,657,1701
218,1900-01-01 18:10:00,644,1701
219,1900-01-01 18:15:00,631,1701
220,1900-01-01 18:20:00,618,1701
221,1900-01-01 18:25:00,618,982
222,1900-01-01 18:30:00,606,1526
223,1900-01-01 18:35:00,603,1526
224,1900-01-01 18:40:00,601,1526
225,1900-01-01 18:45:00,576,1526
226,1900-01-01 18:50:00,567,1526
227,1900-01-01 18:55:00,562,840
228,1900-01-01 19:00:00,546,1814
229,1900-01-01 19:05:00,538,1814
230,1900-01-01 19:10:00,506,1814
231,1900-01-01 19:15:00,532,1814
232,1900-01-01 19:20:00,541,1814
233,1900-01-01 19:25:00,524,1792
234,1900-01-01 19:30:00,520,1792
235,1900-01-01 19:35:00,516,1792
236,1900-01-01 19:40:00,508,1792
237,1900-01-01 19:45:00,508,1792
238,1900-01-01 19:50:00,491,1792
239,1900-01-01 19:55:00,498,336
240,1900-01-01 20:00:00,480,968
241,1900-01-01 20:05:00,477,968
242,1900-01-01 20:10:00,478,968
243,1900-01-01 20:15:00,375,968
244,1900-01-01 20:20:00,479,968
245,1900-01-01 20:25:00,471,830
246,1900-01-01 20:30:00,458,830
247,1900-01-01 20:35:00,468,830
248,1900-01-01 20:40:00,457,830
249,1900-01-01 20:45:00,456,830
250,1900-01-01 20:50:00,463,830
251,1900-01-01 20:55:00,466,169
252,1900-01-01 21:00:00,460,336
253,1900-01-01 21:05:00,452,336
254,1900-01-01 21:10:00,450,336
255,1900-01-01 21:15:00,446,336
256,1900-01-01 21:20:00,440,336
257,1900-01-01 21:25:00,440,194
258,1900-01-01 21:30:00,443,194
259,1900-01-01 21:35:00,435,194
260,1900-01-01 21:40:00,431,194
261,1900-01-01 21:45:00,432,194
262,1900-01-01 21:50:00,425,194
263,1900-01-01 21:55:00,425,0
264,1900-01-01 22:00:00,426,0
265,1900-01-01 22:05:00,411,0
266,1900-01-01 22:10:00,408,0
267,1900-01-01 22:15:00,402,0
268,1900-01-01 22:20:00,396,0
269,1900-01-01 22:25:00,396,0
270,1900-01-01 22:30:00,386,0
271,1900-01-01 22:35:00,373,0
272,1900-01-01 22:40:00,377,0
273,1900-01-01 22:45:00,365,0
274,1900-01-01 22:50:00,356,0
275,1900-01-01 22:55:00,348,0
276,1900-01-01 23:00:00,339,0
277,1900-01-01 23:05:00,336,0
278,1900-01-01 23:10:00,326,0
279,1900-01-01 23:15:00,323,0
280,1900-01-01 23:20:00,321,0
281,1900-01-01 23:25:00,313,0
282,1900-01-01 23:30:00,307,0
283,1900-01-01 23:35:00,297,0
284,1900-01-01 23:40:00,289,0
285,1900-01-01 23:45:00,271,0
286,1900-01-01 23:50:00,264,0
287,1900-01-01 23:55:00,269,0
