,Time_Stamp,Present_Signals,Number_of_People
188,1900-01-01 15:40:00,964,1674
189,1900-01-01 15:45:00,929,1674
190,1900-01-01 15:50:00,904,1674
191,1900-01-01 15:55:00,902,288
192,1900-01-01 16:00:00,925,2062
193,1900-01-01 16:05:00,931,2062
194,1900-01-01 16:10:00,942,2062
195,1900-01-01 16:15:00,902,2062
196,1900-01-01 16:20:00,955,2062
197,1900-01-01 16:25:00,952,2062
198,1900-01-01 16:30:00,952,2062
199,1900-01-01 16:35:00,938,2062
200,1900-01-01 16:40:00,913,2062
201,1900-01-01 16:45:00,914,2062
202,1900-01-01 16:50:00,851,2062
203,1900-01-01 16:55:00,824,280
204,1900-01-01 17:00:00,813,1670
205,1900-01-01 17:05:00,836,1670
206,1900-01-01 17:10:00,840,1670
207,1900-01-01 17:15:00,841,1670
208,1900-01-01 17:20:00,839,1670
209,1900-01-01 17:25:00,839,1640
210,1900-01-01 17:30:00,846,1662
211,1900-01-01 17:35:00,852,1662
212,1900-01-01 17:40:00,826,1662
213,1900-01-01 17:45:00,821,1662
214,1900-01-01 17:50:00,809,1662
215,1900-01-01 17:55:00,787,963
216,1900-01-01 18:00:00,796,1908
217,1900-01-01 18:05:00,778,1908
218,1900-01-01 18:10:00,762,1908
219,1900-01-01 18:15:00,760,1908
220,1900-01-01 18:20:00,757,1908
221,1900-01-01 18:25:00,745,1436
222,1900-01-01 18:30:00,734,1487
223,1900-01-01 18:35:00,736,1388
224,1900-01-01 18:40:00,731,1388
225,1900-01-01 18:45:00,723,1388
226,1900-01-01 18:50:00,723,1388
227,1900-01-01 18:55:00,722,685
228,1900-01-01 19:00:00,727,1497
229,1900-01-01 19:05:00,715,1497
230,1900-01-01 19:10:00,716,1497
231,1900-01-01 19:15:00,716,1497
232,1900-01-01 19:20:00,730,1497
233,1900-01-01 19:25:00,706,1497
234,1900-01-01 19:30:00,710,1497
235,1900-01-01 19:35:00,693,1497
236,1900-01-01 19:40:00,686,1497
237,1900-01-01 19:45:00,669,1497
238,1900-01-01 19:50:00,652,1497
239,1900-01-01 19:55:00,629,370
240,1900-01-01 20:00:00,623,707
241,1900-01-01 20:05:00,628,689
242,1900-01-01 20:10:00,630,689
243,1900-01-01 20:15:00,624,689
244,1900-01-01 20:20:00,625,689
245,1900-01-01 20:25:00,635,689
246,1900-01-01 20:30:00,630,689
247,1900-01-01 20:35:00,612,689
248,1900-01-01 20:40:00,600,689
249,1900-01-01 20:45:00,596,689
250,1900-01-01 20:50:00,591,689
