,Time_Stamp,Present_Signals,Number_of_People
188,1900-01-01 15:40:00,866,1569
189,1900-01-01 15:45:00,847,1569
190,1900-01-01 15:50:00,696,1569
191,1900-01-01 15:55:00,684,419
192,1900-01-01 16:00:00,708,1933
193,1900-01-01 16:05:00,710,1933
194,1900-01-01 16:10:00,730,1933
195,1900-01-01 16:15:00,723,1933
196,1900-01-01 16:20:00,719,1933
197,1900-01-01 16:25:00,726,1933
198,1900-01-01 16:30:00,722,1933
199,1900-01-01 16:35:00,733,1933
200,1900-01-01 16:40:00,694,1933
201,1900-01-01 16:45:00,660,1933
202,1900-01-01 16:50:00,650,1933
203,1900-01-01 16:55:00,627,276
204,1900-01-01 17:00:00,626,2191
205,1900-01-01 17:05:00,759,2191
206,1900-01-01 17:10:00,751,2191
207,1900-01-01 17:15:00,769,2191
208,1900-01-01 17:20:00,703,2191
209,1900-01-01 17:25:00,738,2132
210,1900-01-01 17:30:00,733,2132
211,1900-01-01 17:35:00,725,2132
212,1900-01-01 17:40:00,724,2132
213,1900-01-01 17:45:00,717,2132
214,1900-01-01 17:50:00,691,2132
215,1900-01-01 17:55:00,683,1240
216,1900-01-01 18:00:00,677,2165
217,1900-01-01 18:05:00,665,2165
218,1900-01-01 18:10:00,668,2165
219,1900-01-01 18:15:00,658,2165
220,1900-01-01 18:20:00,672,2165
221,1900-01-01 18:25:00,655,1693
222,1900-01-01 18:30:00,660,1744
223,1900-01-01 18:35:00,638,1695
224,1900-01-01 18:40:00,631,1695
225,1900-01-01 18:45:00,633,1695
226,1900-01-01 18:50:00,615,1695
227,1900-01-01 18:55:00,615,753
228,1900-01-01 19:00:00,625,1751
229,1900-01-01 19:05:00,633,1751
230,1900-01-01 19:10:00,627,1751
231,1900-01-01 19:15:00,600,1751
232,1900-01-01 19:20:00,632,1751
233,1900-01-01 19:25:00,624,1751
234,1900-01-01 19:30:00,617,1751
235,1900-01-01 19:35:00,631,1751
236,1900-01-01 19:40:00,616,1751
237,1900-01-01 19:45:00,609,1751
238,1900-01-01 19:50:00,609,1751
239,1900-01-01 19:55:00,614,134
240,1900-01-01 20:00:00,599,657
241,1900-01-01 20:05:00,614,657
242,1900-01-01 20:10:00,603,657
243,1900-01-01 20:15:00,600,657
244,1900-01-01 20:20:00,611,657
245,1900-01-01 20:25:00,623,657
246,1900-01-01 20:30:00,607,657
247,1900-01-01 20:35:00,609,657
248,1900-01-01 20:40:00,596,657
249,1900-01-01 20:45:00,598,657
250,1900-01-01 20:50:00,581,657
251,1900-01-01 20:55:00,635,18
252,1900-01-01 21:00:00,630,77
253,1900-01-01 21:05:00,642,77
254,1900-01-01 21:10:00,629,77
255,1900-01-01 21:15:00,641,77
256,1900-01-01 21:20:00,634,77
257,1900-01-01 21:25:00,623,77
258,1900-01-01 21:30:00,599,77
259,1900-01-01 21:35:00,603,77
260,1900-01-01 21:40:00,590,77
261,1900-01-01 21:45:00,591,77
262,1900-01-01 21:50:00,581,77
263,1900-01-01 21:55:00,573,0
264,1900-01-01 22:00:00,572,0
265,1900-01-01 22:05:00,561,0
266,1900-01-01 22:10:00,550,0
267,1900-01-01 22:15:00,534,0
268,1900-01-01 22:20:00,542,0
269,1900-01-01 22:25:00,530,0
270,1900-01-01 22:30:00,510,0
271,1900-01-01 22:35:00,512,0
272,1900-01-01 22:40:00,510,0
273,1900-01-01 22:45:00,503,0
274,1900-01-01 22:50:00,498,0
275,1900-01-01 22:55:00,476,0
276,1900-01-01 23:00:00,472,0
277,1900-01-01 23:05:00,458,0
278,1900-01-01 23:10:00,446,0
279,1900-01-01 23:15:00,435,0
280,1900-01-01 23:20:00,437,0
281,1900-01-01 23:25:00,426,0
282,1900-01-01 23:30:00,418,0
283,1900-01-01 23:35:00,385,0
284,1900-01-01 23:40:00,385,0
285,1900-01-01 23:45:00,361,0
286,1900-01-01 23:50:00,362,0
287,1900-01-01 23:55:00,380,0
