,Time_Stamp,Present_Signals
91,1900-01-01 07:35:00,180
92,1900-01-01 07:40:00,207
93,1900-01-01 07:45:00,171
94,1900-01-01 07:50:00,193
95,1900-01-01 07:55:00,187
96,1900-01-01 08:00:00,157
97,1900-01-01 08:05:00,132
98,1900-01-01 08:10:00,138
99,1900-01-01 08:15:00,140
100,1900-01-01 08:20:00,146
101,1900-01-01 08:25:00,144
102,1900-01-01 08:30:00,153
103,1900-01-01 08:35:00,148
104,1900-01-01 08:40:00,156
105,1900-01-01 08:45:00,163
106,1900-01-01 08:50:00,163
107,1900-01-01 08:55:00,169
108,1900-01-01 09:00:00,188
109,1900-01-01 09:05:00,197
110,1900-01-01 09:10:00,222
111,1900-01-01 09:15:00,213
112,1900-01-01 09:20:00,222
113,1900-01-01 09:25:00,223
114,1900-01-01 09:30:00,202
115,1900-01-01 09:35:00,229
116,1900-01-01 09:40:00,240
117,1900-01-01 09:45:00,243
118,1900-01-01 09:50:00,240
119,1900-01-01 09:55:00,236
120,1900-01-01 10:00:00,278
121,1900-01-01 10:05:00,285
122,1900-01-01 10:10:00,295
123,1900-01-01 10:15:00,309
124,1900-01-01 10:20:00,321
125,1900-01-01 10:25:00,331
126,1900-01-01 10:30:00,329
127,1900-01-01 10:35:00,333
128,1900-01-01 10:40:00,349
129,1900-01-01 10:45:00,345
130,1900-01-01 10:50:00,345
131,1900-01-01 10:55:00,345
132,1900-01-01 11:00:00,371
133,1900-01-01 11:05:00,421
134,1900-01-01 11:10:00,388
135,1900-01-01 11:15:00,390
136,1900-01-01 11:20:00,398
137,1900-01-01 11:25:00,411
138,1900-01-01 11:30:00,415
139,1900-01-01 11:35:00,423
140,1900-01-01 11:40:00,415
141,1900-01-01 11:45:00,406
142,1900-01-01 11:50:00,396
143,1900-01-01 11:55:00,397
144,1900-01-01 12:00:00,415
145,1900-01-01 12:05:00,426
146,1900-01-01 12:10:00,427
147,1900-01-01 12:15:00,431
148,1900-01-01 12:20:00,434
149,1900-01-01 12:25:00,450
150,1900-01-01 12:30:00,455
151,1900-01-01 12:35:00,443
152,1900-01-01 12:40:00,457
153,1900-01-01 12:45:00,453
154,1900-01-01 12:50:00,453
155,1900-01-01 12:55:00,463
156,1900-01-01 13:00:00,524
157,1900-01-01 13:05:00,493
158,1900-01-01 13:10:00,497
159,1900-01-01 13:15:00,508
160,1900-01-01 13:20:00,515
161,1900-01-01 13:25:00,511
162,1900-01-01 13:30:00,519
163,1900-01-01 13:35:00,525
164,1900-01-01 13:40:00,516
165,1900-01-01 13:45:00,518
166,1900-01-01 13:50:00,505
167,1900-01-01 13:55:00,513
168,1900-01-01 14:00:00,533
169,1900-01-01 14:05:00,532
170,1900-01-01 14:10:00,538
171,1900-01-01 14:15:00,549
172,1900-01-01 14:20:00,548
173,1900-01-01 14:25:00,550
174,1900-01-01 14:30:00,556
175,1900-01-01 14:35:00,544
176,1900-01-01 14:40:00,533
177,1900-01-01 14:45:00,515
178,1900-01-01 14:50:00,487
179,1900-01-01 14:55:00,523
180,1900-01-01 15:00:00,488
181,1900-01-01 15:05:00,482
182,1900-01-01 15:10:00,496
183,1900-01-01 15:15:00,500
184,1900-01-01 15:20:00,500
185,1900-01-01 15:25:00,497
186,1900-01-01 15:30:00,496
187,1900-01-01 15:35:00,498
188,1900-01-01 15:40:00,500
189,1900-01-01 15:45:00,491
190,1900-01-01 15:50:00,466
191,1900-01-01 15:55:00,447
192,1900-01-01 16:00:00,469
193,1900-01-01 16:05:00,478
194,1900-01-01 16:10:00,464
195,1900-01-01 16:15:00,471
196,1900-01-01 16:20:00,469
197,1900-01-01 16:25:00,457
198,1900-01-01 16:30:00,463
199,1900-01-01 16:35:00,445
200,1900-01-01 16:40:00,433
201,1900-01-01 16:45:00,418
202,1900-01-01 16:50:00,441
203,1900-01-01 16:55:00,401
204,1900-01-01 17:00:00,381
205,1900-01-01 17:05:00,381
206,1900-01-01 17:10:00,324
207,1900-01-01 17:15:00,334
208,1900-01-01 17:20:00,319
209,1900-01-01 17:25:00,309
210,1900-01-01 17:30:00,302
211,1900-01-01 17:35:00,284
212,1900-01-01 17:40:00,257
213,1900-01-01 17:45:00,239
214,1900-01-01 17:50:00,204
215,1900-01-01 17:55:00,177
216,1900-01-01 18:00:00,189
217,1900-01-01 18:05:00,191
218,1900-01-01 18:10:00,203
219,1900-01-01 18:15:00,202
220,1900-01-01 18:20:00,206
221,1900-01-01 18:25:00,203
222,1900-01-01 18:30:00,209
223,1900-01-01 18:35:00,210
224,1900-01-01 18:40:00,199
225,1900-01-01 18:45:00,200
226,1900-01-01 18:50:00,197
227,1900-01-01 18:55:00,211
228,1900-01-01 19:00:00,201
229,1900-01-01 19:05:00,216
230,1900-01-01 19:10:00,204
231,1900-01-01 19:15:00,204
232,1900-01-01 19:20:00,195
233,1900-01-01 19:25:00,195
234,1900-01-01 19:30:00,184
235,1900-01-01 19:35:00,198
236,1900-01-01 19:40:00,195
237,1900-01-01 19:45:00,207
238,1900-01-01 19:50:00,199
239,1900-01-01 19:55:00,181
240,1900-01-01 20:00:00,197
241,1900-01-01 20:05:00,208
242,1900-01-01 20:10:00,209
243,1900-01-01 20:15:00,219
244,1900-01-01 20:20:00,203
245,1900-01-01 20:25:00,201
246,1900-01-01 20:30:00,209
247,1900-01-01 20:35:00,212
248,1900-01-01 20:40:00,196
249,1900-01-01 20:45:00,203
250,1900-01-01 20:50:00,195
251,1900-01-01 20:55:00,203
252,1900-01-01 21:00:00,204
253,1900-01-01 21:05:00,199
254,1900-01-01 21:10:00,204
255,1900-01-01 21:15:00,189
256,1900-01-01 21:20:00,205
257,1900-01-01 21:25:00,209
258,1900-01-01 21:30:00,203
259,1900-01-01 21:35:00,200
260,1900-01-01 21:40:00,189
261,1900-01-01 21:45:00,171
262,1900-01-01 21:50:00,210
263,1900-01-01 21:55:00,209
264,1900-01-01 22:00:00,203
265,1900-01-01 22:05:00,234
266,1900-01-01 22:10:00,229
267,1900-01-01 22:15:00,219
268,1900-01-01 22:20:00,215
269,1900-01-01 22:25:00,210
270,1900-01-01 22:30:00,224
271,1900-01-01 22:35:00,230
272,1900-01-01 22:40:00,231
273,1900-01-01 22:45:00,228
274,1900-01-01 22:50:00,217
275,1900-01-01 22:55:00,239
276,1900-01-01 23:00:00,227
277,1900-01-01 23:05:00,247
278,1900-01-01 23:10:00,245
279,1900-01-01 23:15:00,256
280,1900-01-01 23:20:00,251
281,1900-01-01 23:25:00,231
282,1900-01-01 23:30:00,247
283,1900-01-01 23:35:00,264
284,1900-01-01 23:40:00,255
285,1900-01-01 23:45:00,239
286,1900-01-01 23:50:00,228
287,1900-01-01 23:55:00,241
