	start_time	end_time	dayOfWeek	size
1555	12.5	13.833333333333334	TuTh     	16
1556	14.0	15.333333333333334	TuTh     	38
1557	11.0	12.333333333333334	TuTh     	23
1558	13.0	13.833333333333334	MWF    	20
1559	17.0	18.333333333333332	TuTh     	19
1560	13.0	13.833333333333334	MWF    	31
1561	11.0	11.833333333333334	MWF    	27
1562	17.0	18.333333333333332	MW     	5
1563	10.0	11.833333333333334	F      	4
1564	12.0	12.833333333333334	M      	46
1565	13.0	13.833333333333334	M      	19
1566	14.0	14.833333333333334	M      	17
1567	17.0	17.833333333333332	Th      	86
1568	14.0	15.333333333333334	MW     	6
1569	16.0	16.833333333333332	W      	100
1570	13.0	13.833333333333334	W      	37
1571	14.0	15.333333333333334	TuTh     	12
1572	11.0	11.833333333333334	W      	18
1573	12.0	12.833333333333334	W      	31
1574	18.0	18.833333333333332	Th      	31
1575	19.0	19.833333333333332	Th      	33
1576	10.0	10.833333333333334	F      	33
1577	13.0	13.833333333333334	W      	31
1578	14.0	14.833333333333334	W      	30
1579	18.0	18.833333333333332	Th      	31
1580	19.0	19.833333333333332	Th      	18
1581	12.0	12.833333333333334	F      	28
1582	13.0	13.833333333333334	F      	27
1583	13.0	13.833333333333334	W      	32
1584	9.0	9.833333333333334	F      	31
1585	10.0	10.833333333333334	F      	30
1586	11.0	11.833333333333334	F      	28
1587	14.0	14.833333333333334	W      	31
1588	10.0	10.833333333333334	W      	30
1589	11.0	11.833333333333334	W      	19
1590	9.0	9.833333333333334	F      	20
1591	10.0	10.833333333333334	F      	13
1592	12.0	12.833333333333334	W      	34
1593	14.0	14.833333333333334	W      	30
1594	17.0	17.833333333333332	W      	28
1595	11.0	11.833333333333334	F      	33
1596	12.0	12.833333333333334	F      	28
1597	13.0	13.833333333333334	F      	24
1598	11.0	12.333333333333334	TuTh     	147
1599	12.5	13.833333333333334	TuTh     	124
1600	18.0	20.833333333333332	M      	111
1601	14.0	15.333333333333334	TuTh     	86
1602	15.5	16.833333333333332	TuTh     	77
1603	11.0	11.833333333333334	MWF    	11
1604	17.0	19.833333333333332	Tu      	67
1605	17.0	19.833333333333332	Th      	98
1606	10.0	10.833333333333334	MWF    	42
1607	11.0	12.333333333333334	TuTh     	56
1608	14.0	14.833333333333334	MWF    	82
1609	17.0	19.833333333333332	M      	57
1610	15.5	16.833333333333332	TuTh     	129
1611	11.0	12.333333333333334	TuTh     	76
1612	10.0	10.833333333333334	MWF    	53
1613	11.0	11.833333333333334	MWF    	84
1614	15.0	15.833333333333334	MWF    	82
1615	15.0	15.833333333333334	MWF    	56
1616	18.5	19.833333333333332	MW     	14
1617	14.0	15.333333333333334	TuTh     	92
1618	11.0	11.833333333333334	MWF    	25
1619	12.0	14.833333333333334	W      	8
1620	15.5	16.833333333333332	TuTh     	378
1621	17.0	19.833333333333332	Tu      	296
1622	16.0	16.833333333333332	MWF    	290
1623	16.0	16.833333333333332	Tu      	33
1624	9.0	9.833333333333334	W      	31
1625	10.0	10.833333333333334	W      	34
1626	12.0	12.833333333333334	W      	32
1627	13.0	13.833333333333334	Th      	32
1628	10.0	10.833333333333334	F      	32
