,Time_Stamp,Number_of_People
120,1900-01-01 10:00:00,0.0
121,1900-01-01 10:05:00,0.0
122,1900-01-01 10:10:00,0.0
123,1900-01-01 10:15:00,0.0
124,1900-01-01 10:20:00,0.0
125,1900-01-01 10:25:00,0.0
126,1900-01-01 10:30:00,0.0
127,1900-01-01 10:35:00,0.0
128,1900-01-01 10:40:00,0.0
129,1900-01-01 10:45:00,0.0
130,1900-01-01 10:50:00,0.0
131,1900-01-01 10:55:00,0.0
132,1900-01-01 11:00:00,0.0
133,1900-01-01 11:05:00,0.0
134,1900-01-01 11:10:00,0.0
135,1900-01-01 11:15:00,0.0
136,1900-01-01 11:20:00,0.0
137,1900-01-01 11:25:00,0.0
138,1900-01-01 11:30:00,0.0
139,1900-01-01 11:35:00,0.0
140,1900-01-01 11:40:00,0.0
141,1900-01-01 11:45:00,0.0
142,1900-01-01 11:50:00,0.0
143,1900-01-01 11:55:00,0.0
144,1900-01-01 12:00:00,0.0
145,1900-01-01 12:05:00,0.0
146,1900-01-01 12:10:00,0.0
147,1900-01-01 12:15:00,0.0
148,1900-01-01 12:20:00,0.0
149,1900-01-01 12:25:00,0.0
150,1900-01-01 12:30:00,0.0
151,1900-01-01 12:35:00,0.0
152,1900-01-01 12:40:00,0.0
153,1900-01-01 12:45:00,0.0
154,1900-01-01 12:50:00,0.0
155,1900-01-01 12:55:00,0.0
156,1900-01-01 13:00:00,0.0
157,1900-01-01 13:05:00,0.0
158,1900-01-01 13:10:00,0.0
159,1900-01-01 13:15:00,0.0
160,1900-01-01 13:20:00,0.0
161,1900-01-01 13:25:00,0.0
162,1900-01-01 13:30:00,0.0
163,1900-01-01 13:35:00,0.0
164,1900-01-01 13:40:00,0.0
165,1900-01-01 13:45:00,0.0
166,1900-01-01 13:50:00,0.0
167,1900-01-01 13:55:00,0.0
168,1900-01-01 14:00:00,0.0
169,1900-01-01 14:05:00,0.0
170,1900-01-01 14:10:00,0.0
171,1900-01-01 14:15:00,3.0
172,1900-01-01 14:20:00,0.0
173,1900-01-01 14:25:00,0.0
174,1900-01-01 14:30:00,14.000000000000002
175,1900-01-01 14:35:00,17.500000000000004
176,1900-01-01 14:40:00,17.500000000000004
177,1900-01-01 14:45:00,1.0
178,1900-01-01 14:50:00,2.0
179,1900-01-01 14:55:00,2.5
180,1900-01-01 15:00:00,13.5
181,1900-01-01 15:05:00,17.5
182,1900-01-01 15:10:00,22.5
183,1900-01-01 15:15:00,30.5
